rental_id,duration,bike_id,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name
64997369,1560,14800,2017-05-15 06:16:00 UTC,3,"Christopher Street, Liverpool Street",2017-05-15 05:50:00 UTC,440,"Kennington Oval, Oval"
64997370,360,13452,2017-05-15 05:56:00 UTC,606,"Addison Road, Holland Park",2017-05-15 05:50:00 UTC,657,"Blythe Road West, Shepherd's Bush"
64997371,120,6178,2017-05-15 05:53:00 UTC,480,"Flamborough Street, Limehouse",2017-05-15 05:51:00 UTC,561,"Rectory Square, Stepney"
64997372,840,10498,2017-05-15 06:05:00 UTC,71,"Newgate Street , St. Paul's",2017-05-15 05:51:00 UTC,131,"Eversholt Street , Camden Town"
64997373,1560,10220,2017-05-15 06:17:00 UTC,748,"Hertford Road, De Beauvoir Town",2017-05-15 05:51:00 UTC,551,"Montgomery Square, Canary Wharf"
64997374,660,2883,2017-05-15 06:02:00 UTC,303,"Albert Gate, Hyde Park",2017-05-15 05:51:00 UTC,524,"Lancaster Gate , Bayswater"
64997375,480,10094,2017-05-15 06:00:00 UTC,30,"Windsor Terrace, Hoxton",2017-05-15 05:52:00 UTC,58,"New Inn Yard, Shoreditch"
64997376,1020,10683,2017-05-15 06:09:00 UTC,577,"Globe Town Market, Bethnal Green",2017-05-15 05:52:00 UTC,785,"Aquatic Centre, Queen Elizabeth Olympic Park"
64997377,300,12196,2017-05-15 05:58:00 UTC,217,"Wormwood Street, Liverpool Street",2017-05-15 05:53:00 UTC,54,"Golden Lane, Barbican"
64997378,480,6997,2017-05-15 06:02:00 UTC,219,"Bramham Gardens, Earl's Court",2017-05-15 05:54:00 UTC,727,"Chesilton Road, Fulham"
64997379,120,9507,2017-05-15 05:56:00 UTC,269,"Empire Square, The Borough",2017-05-15 05:54:00 UTC,321,"Bermondsey Street, Bermondsey"
64997380,1680,14736,2017-05-15 06:22:00 UTC,44,"Bruton Street, Mayfair",2017-05-15 05:54:00 UTC,155,"Lexham Gardens, Kensington"
64997381,900,10864,2017-05-15 06:09:00 UTC,46,"Nesham Street, Wapping",2017-05-15 05:54:00 UTC,577,"Globe Town Market, Bethnal Green"
64997382,900,3502,2017-05-15 06:09:00 UTC,217,"Wormwood Street, Liverpool Street",2017-05-15 05:54:00 UTC,712,"Mile End Stadium, Mile End"
64997383,660,14396,2017-05-15 06:06:00 UTC,631,"Battersea Park Road, Nine Elms",2017-05-15 05:55:00 UTC,185,"Alderney Street, Pimlico"
64997384,600,9828,2017-05-15 06:05:00 UTC,436,"Red Lion Street, Holborn",2017-05-15 05:55:00 UTC,810,"Tate Modern, Bankside"
64997385,420,11347,2017-05-15 06:02:00 UTC,532,"Jubilee Plaza, Canary Wharf",2017-05-15 05:55:00 UTC,480,"Flamborough Street, Limehouse"
64997386,360,14234,2017-05-15 06:01:00 UTC,584,"Ilchester Gardens, Bayswater",2017-05-15 05:55:00 UTC,404,"Palace Gate, Kensington Gardens"
64997387,240,8337,2017-05-15 05:59:00 UTC,101,"Queen Street 1, Bank",2017-05-15 05:55:00 UTC,217,"Wormwood Street, Liverpool Street"
64997388,420,14860,2017-05-15 06:02:00 UTC,319,"Baldwin Street, St. Luke's",2017-05-15 05:55:00 UTC,70,"Calshot Street , King's Cross"
64997389,360,11399,2017-05-15 06:01:00 UTC,45,"Boston Place, Marylebone",2017-05-15 05:55:00 UTC,7,"Charlbert Street, St. John's Wood"
64997390,780,11107,2017-05-15 06:09:00 UTC,672,"Grant Road Central, Clapham Junction",2017-05-15 05:56:00 UTC,745,"Upcerne Road, West Chelsea"
64997391,180,2671,2017-05-15 05:59:00 UTC,121,"Baker Street, Marylebone",2017-05-15 05:56:00 UTC,265,"Southwick Street, Paddington"
64997392,3300,6319,2017-05-15 06:51:00 UTC,175,"Appold Street, Liverpool Street",2017-05-15 05:56:00 UTC,298,"Curlew Street, Shad Thames"
64997393,900,6988,2017-05-15 06:12:00 UTC,263,"St. Mary Axe, Aldgate",2017-05-15 05:57:00 UTC,564,"Somerset House, Strand"
64997394,480,3100,2017-05-15 06:05:00 UTC,288,"Elizabeth Bridge, Victoria",2017-05-15 05:57:00 UTC,664,"Austin Road, Battersea Park"
64997395,240,6011,2017-05-15 06:01:00 UTC,546,"New Fetter Lane, Holborn",2017-05-15 05:57:00 UTC,427,"Cheapside, Bank"
64997396,780,9730,2017-05-15 06:10:00 UTC,735,"Grant Road East, Clapham Junction",2017-05-15 05:57:00 UTC,671,"Parsons Green Station, Parsons Green"
64997397,660,8610,2017-05-15 06:08:00 UTC,432,"Exhibition Road Museums, South Kensington",2017-05-15 05:57:00 UTC,720,"Star Road, West Kensington"
64997398,360,7355,2017-05-15 06:03:00 UTC,753,"Hammersmith Town Hall, Hammersmith",2017-05-15 05:57:00 UTC,666,"Olympia Way, Olympia"
64997399,240,2973,2017-05-15 06:01:00 UTC,221,"Horseferry Road, Westminster",2017-05-15 05:57:00 UTC,320,"Queen Mother Sports Centre, Victoria"
64997400,480,856,2017-05-15 06:06:00 UTC,357,"Howland Street, Fitzrovia",2017-05-15 05:58:00 UTC,83,"Panton Street, West End"
64997401,2460,14845,2017-05-15 06:40:00 UTC,315,"The Tennis Courts, The Regent's Park",2017-05-15 05:59:00 UTC,315,"The Tennis Courts, The Regent's Park"
64997402,840,1903,2017-05-15 06:13:00 UTC,199,"Great Tower Street, Monument",2017-05-15 05:59:00 UTC,491,"Queen Mary's, Mile End"
64997403,2520,6695,2017-05-15 06:41:00 UTC,315,"The Tennis Courts, The Regent's Park",2017-05-15 05:59:00 UTC,315,"The Tennis Courts, The Regent's Park"
64997404,900,4135,2017-05-15 06:16:00 UTC,532,"Jubilee Plaza, Canary Wharf",2017-05-15 06:01:00 UTC,453,"Garnet Street, Shadwell"
64997405,300,2948,2017-05-15 06:06:00 UTC,397,"Devonshire Terrace, Bayswater",2017-05-15 06:01:00 UTC,261,"Princes Square, Bayswater"
64997406,960,14829,2017-05-15 06:18:00 UTC,55,"Finsbury Circus, Liverpool Street",2017-05-15 06:02:00 UTC,14,"Belgrove Street , King's Cross"
64997407,1200,14411,2017-05-15 06:22:00 UTC,570,"Upper Bank Street, Canary Wharf",2017-05-15 06:02:00 UTC,71,"Newgate Street , St. Paul's"
64997408,780,5073,2017-05-15 06:15:00 UTC,199,"Great Tower Street, Monument",2017-05-15 06:02:00 UTC,42,"Wenlock Road , Hoxton"
64997409,240,6327,2017-05-15 06:06:00 UTC,313,"Wells Street, Fitzrovia",2017-05-15 06:02:00 UTC,81,"Great Titchfield Street, Fitzrovia"
64997410,540,4328,2017-05-15 06:11:00 UTC,74,"Vauxhall Cross, Vauxhall",2017-05-15 06:02:00 UTC,664,"Austin Road, Battersea Park"
64997411,540,3003,2017-05-15 06:11:00 UTC,631,"Battersea Park Road, Nine Elms",2017-05-15 06:02:00 UTC,654,"Ashmole Estate, Oval"
64997412,1380,5082,2017-05-15 06:25:00 UTC,159,"Great Marlborough Street, Soho",2017-05-15 06:02:00 UTC,200,"LMU Commercial Road, Whitechapel"
64997413,300,14812,2017-05-15 06:08:00 UTC,6,"Broadcasting House, Marylebone",2017-05-15 06:03:00 UTC,138,"Green Street, Mayfair"
64997414,180,7583,2017-05-15 06:06:00 UTC,597,"Fulham Park Road, Fulham",2017-05-15 06:03:00 UTC,729,"St. Peter's Terrace, Fulham"
64997415,900,14550,2017-05-15 06:18:00 UTC,393,"Snow Hill, Farringdon",2017-05-15 06:03:00 UTC,321,"Bermondsey Street, Bermondsey"
64997416,1380,12641,2017-05-15 06:26:00 UTC,174,"Strand, Strand",2017-05-15 06:03:00 UTC,498,"Bow Road Station, Bow"
64997417,240,9994,2017-05-15 06:07:00 UTC,638,"Falcon Road, Clapham Junction",2017-05-15 06:03:00 UTC,620,"Surrey Lane, Battersea"
64997418,180,2986,2017-05-15 06:06:00 UTC,115,"Braham Street, Aldgate",2017-05-15 06:03:00 UTC,202,"Leman Street, Aldgate"
64997419,840,8784,2017-05-15 06:18:00 UTC,743,"Oxford Road, Putney",2017-05-15 06:04:00 UTC,711,"Everington Street, Fulham"
64997420,1380,3244,2017-05-15 06:27:00 UTC,133,"Derry Street, Kensington",2017-05-15 06:04:00 UTC,548,"Westminster Bridge Road, Elephant & Castle"
64997421,180,12478,2017-05-15 06:07:00 UTC,763,"Mile End Park Leisure Centre, Mile End",2017-05-15 06:04:00 UTC,542,"Salmon Lane, Limehouse"
64997422,780,14836,2017-05-15 06:17:00 UTC,95,"Aldersgate Street, Barbican",2017-05-15 06:04:00 UTC,298,"Curlew Street, Shad Thames"
64997423,420,14759,2017-05-15 06:12:00 UTC,703,"St. Bride Street, Holborn",2017-05-15 06:05:00 UTC,9,"New Globe Walk, Bankside"
64997424,1200,4048,2017-05-15 06:25:00 UTC,101,"Queen Street 1, Bank",2017-05-15 06:05:00 UTC,424,"Ebury Bridge, Pimlico"
64997425,1320,4890,2017-05-15 06:27:00 UTC,55,"Finsbury Circus, Liverpool Street",2017-05-15 06:05:00 UTC,74,"Vauxhall Cross, Vauxhall"
64997427,720,9696,2017-05-15 06:17:00 UTC,280,"Royal Avenue 2, Chelsea",2017-05-15 06:05:00 UTC,738,"Imperial Road, Sands End"
64997429,120,8766,2017-05-15 06:08:00 UTC,126,"Museum of London, Barbican",2017-05-15 06:06:00 UTC,55,"Finsbury Circus, Liverpool Street"
64997428,120,8766,2017-05-15 06:08:00 UTC,126,"Museum of London, Barbican",2017-05-15 06:06:00 UTC,55,"Finsbury Circus, Liverpool Street"
64997430,120,8766,2017-05-15 06:08:00 UTC,126,"Museum of London, Barbican",2017-05-15 06:06:00 UTC,55,"Finsbury Circus, Liverpool Street"
64997431,240,9253,2017-05-15 06:10:00 UTC,319,"Baldwin Street, St. Luke's",2017-05-15 06:06:00 UTC,326,"Graham Street, Angel"
64997432,180,7492,2017-05-15 06:09:00 UTC,557,"King Edward Street, St Pauls",2017-05-15 06:06:00 UTC,55,"Finsbury Circus, Liverpool Street"
64997433,900,10690,2017-05-15 06:21:00 UTC,692,"Cadogan Close, Victoria Park",2017-05-15 06:06:00 UTC,722,"Finnis Street, Bethnal Green"
64997434,540,7882,2017-05-15 06:15:00 UTC,45,"Boston Place, Marylebone",2017-05-15 06:06:00 UTC,733,"Park Lane, Mayfair"
64997435,1080,186,2017-05-15 06:24:00 UTC,126,"Museum of London, Barbican",2017-05-15 06:06:00 UTC,126,"Museum of London, Barbican"
64997436,360,9147,2017-05-15 06:12:00 UTC,120,"The Guildhall, Guildhall",2017-05-15 06:06:00 UTC,107,"Finsbury Leisure Centre, St. Luke's"
64997437,1320,5424,2017-05-15 06:29:00 UTC,668,"Ravenscourt Park Station, Hammersmith",2017-05-15 06:07:00 UTC,648,"Peterborough Road, Sands End"
64997438,360,2675,2017-05-15 06:13:00 UTC,55,"Finsbury Circus, Liverpool Street",2017-05-15 06:07:00 UTC,401,"Columbia Road, Shoreditch"
64997439,840,13930,2017-05-15 06:21:00 UTC,68,"Theobald's Road , Holborn",2017-05-15 06:07:00 UTC,42,"Wenlock Road , Hoxton"
64997440,1140,734,2017-05-15 06:27:00 UTC,228,"St. James's Square, St. James's",2017-05-15 06:08:00 UTC,401,"Columbia Road, Shoreditch"
64997441,300,8985,2017-05-15 06:13:00 UTC,107,"Finsbury Leisure Centre, St. Luke's",2017-05-15 06:08:00 UTC,3,"Christopher Street, Liverpool Street"
64997442,1380,13628,2017-05-15 06:31:00 UTC,162,"Southampton Place, Holborn",2017-05-15 06:08:00 UTC,531,"Twig Folly Bridge, Mile End"
64997443,840,14370,2017-05-15 06:22:00 UTC,15,"Great Russell Street, Bloomsbury",2017-05-15 06:08:00 UTC,674,"Carnegie Street, King's Cross"
64997444,420,14584,2017-05-15 06:15:00 UTC,331,"Bunhill Row, Moorgate",2017-05-15 06:08:00 UTC,30,"Windsor Terrace, Hoxton"
64997446,1020,2383,2017-05-15 06:25:00 UTC,624,"Courland Grove, Wandsworth Road",2017-05-15 06:08:00 UTC,386,"Moor Street, Soho"
64997447,660,11903,2017-05-15 06:19:00 UTC,3,"Christopher Street, Liverpool Street",2017-05-15 06:08:00 UTC,326,"Graham Street, Angel"
64997448,720,1847,2017-05-15 06:20:00 UTC,703,"St. Bride Street, Holborn",2017-05-15 06:08:00 UTC,86,"Sancroft Street, Vauxhall"
64997449,180,12423,2017-05-15 06:12:00 UTC,239,"Warren Street Station, Euston",2017-05-15 06:09:00 UTC,287,"Bedford Way, Bloomsbury"
64997450,1500,3495,2017-05-15 06:34:00 UTC,71,"Newgate Street , St. Paul's",2017-05-15 06:09:00 UTC,710,"Albert Bridge Road, Battersea Park"
64997451,960,2802,2017-05-15 06:25:00 UTC,581,"New Cavendish Street, Marylebone",2017-05-15 06:09:00 UTC,123,"St. John Street, Finsbury"
64997452,540,8347,2017-05-15 06:18:00 UTC,557,"King Edward Street, St Pauls",2017-05-15 06:09:00 UTC,204,"Margery Street, Clerkenwell"
64997453,480,7132,2017-05-15 06:18:00 UTC,357,"Howland Street, Fitzrovia",2017-05-15 06:10:00 UTC,182,"Bell Street , Marylebone"
64997454,780,9152,2017-05-15 06:22:00 UTC,388,"Southampton Street, Strand",2017-05-15 06:09:00 UTC,411,"Walworth Road, Elephant & Castle"
64997455,900,11221,2017-05-15 06:25:00 UTC,386,"Moor Street, Soho",2017-05-15 06:10:00 UTC,412,"Cleaver Street, Kennington"
64997456,780,6258,2017-05-15 06:23:00 UTC,87,"Devonshire Square, Liverpool Street",2017-05-15 06:10:00 UTC,374,"Waterloo Station 1, Waterloo"
64997457,1620,9981,2017-05-15 06:37:00 UTC,48,"Godliman Street, St. Paul's",2017-05-15 06:10:00 UTC,155,"Lexham Gardens, Kensington"
64997458,420,9831,2017-05-15 06:17:00 UTC,282,"Royal London Hospital, Whitechapel",2017-05-15 06:10:00 UTC,401,"Columbia Road, Shoreditch"
64997459,540,10402,2017-05-15 06:19:00 UTC,264,"Tysoe Street, Clerkenwell",2017-05-15 06:10:00 UTC,393,"Snow Hill, Farringdon"
64997460,180,13980,2017-05-15 06:14:00 UTC,512,"Pritchard's Road, Bethnal Green",2017-05-15 06:11:00 UTC,702,"Durant Street, Bethnal Green"
64997461,1260,6256,2017-05-15 06:32:00 UTC,41,"Sun Street, Liverpool Street",2017-05-15 06:11:00 UTC,530,"Newby Place, Poplar"
64997462,720,14854,2017-05-15 06:23:00 UTC,101,"Queen Street 1, Bank",2017-05-15 06:11:00 UTC,46,"Nesham Street, Wapping"
64997463,300,11197,2017-05-15 06:17:00 UTC,215,"Moorfields, Moorgate",2017-05-15 06:12:00 UTC,30,"Windsor Terrace, Hoxton"
64997464,600,13238,2017-05-15 06:22:00 UTC,136,"Queen Victoria Street, St. Paul's",2017-05-15 06:12:00 UTC,14,"Belgrove Street , King's Cross"
64997465,420,2900,2017-05-15 06:19:00 UTC,732,"Duke Street Hill, London Bridge",2017-05-15 06:12:00 UTC,237,"Dock Street, Wapping"
64997466,960,14380,2017-05-15 06:28:00 UTC,177,"Ashley Place, Victoria",2017-05-15 06:12:00 UTC,94,"Bricklayers Arms, Borough"
64997467,600,3270,2017-05-15 06:22:00 UTC,579,"Queen Street 2, Bank",2017-05-15 06:12:00 UTC,173,"Waterloo Road, South Bank"
64997468,300,5180,2017-05-15 06:17:00 UTC,468,"Cantrell Road, Bow",2017-05-15 06:12:00 UTC,495,"Bow Church Station, Bow"
64997469,180,3070,2017-05-15 06:15:00 UTC,467,"Southern Grove, Bow",2017-05-15 06:12:00 UTC,505,"Ackroyd Drive, Bow"
64997470,1260,12642,2017-05-15 06:33:00 UTC,703,"St. Bride Street, Holborn",2017-05-15 06:12:00 UTC,488,"Reardon Street, Wapping"
64997471,1080,5714,2017-05-15 06:30:00 UTC,175,"Appold Street, Liverpool Street",2017-05-15 06:12:00 UTC,513,"Watney Market, Stepney"
64997472,1080,5660,2017-05-15 06:31:00 UTC,512,"Pritchard's Road, Bethnal Green",2017-05-15 06:13:00 UTC,783,"Monier Road, Hackney Wick"
64997474,780,276,2017-05-15 06:26:00 UTC,340,"Bank of England Museum, Bank",2017-05-15 06:13:00 UTC,409,"Strata, Elephant & Castle"
64997475,1080,813,2017-05-15 06:31:00 UTC,431,"Crinan Street, King's Cross",2017-05-15 06:13:00 UTC,138,"Green Street, Mayfair"
64997476,840,3079,2017-05-15 06:27:00 UTC,596,"Parson's Green , Parson's Green",2017-05-15 06:13:00 UTC,776,"Abyssinia Close, Clapham Junction"
64997477,660,3254,2017-05-15 06:24:00 UTC,509,"Fore Street, Guildhall",2017-05-15 06:13:00 UTC,154,"Waterloo Station 3, Waterloo"
64997478,780,4910,2017-05-15 06:26:00 UTC,5,"Sedding Street, Sloane Square",2017-05-15 06:13:00 UTC,780,"Imperial Wharf Station, Sands End"
64997479,300,5760,2017-05-15 06:18:00 UTC,599,"Manbre Road, Hammersmith",2017-05-15 06:13:00 UTC,730,"Bridge Avenue, Hammersmith"
64997480,300,9738,2017-05-15 06:18:00 UTC,708,"Disraeli Road, Putney",2017-05-15 06:13:00 UTC,685,"Osiers Road, Wandsworth"
64997481,360,14646,2017-05-15 06:19:00 UTC,41,"Sun Street, Liverpool Street",2017-05-15 06:13:00 UTC,101,"Queen Street 1, Bank"
64997482,600,6478,2017-05-15 06:23:00 UTC,496,"Devons Road, Bow",2017-05-15 06:13:00 UTC,491,"Queen Mary's, Mile End"
64997483,420,7939,2017-05-15 06:20:00 UTC,101,"Queen Street 1, Bank",2017-05-15 06:13:00 UTC,506,"Bell Lane, Liverpool Street"
64997484,480,1794,2017-05-15 06:22:00 UTC,41,"Sun Street, Liverpool Street",2017-05-15 06:14:00 UTC,699,"Belford House, Haggerston"
64997487,540,470,2017-05-15 06:23:00 UTC,300,"Serpentine Car Park, Hyde Park",2017-05-15 06:14:00 UTC,211,"Cadogan Place, Knightsbridge"
64997488,1020,11499,2017-05-15 06:31:00 UTC,276,"Lower Thames Street, Monument",2017-05-15 06:14:00 UTC,712,"Mile End Stadium, Mile End"
64997489,600,14004,2017-05-15 06:24:00 UTC,629,"Morie Street, Wandsworth",2017-05-15 06:14:00 UTC,744,"Ingrave Street, Clapham Junction"
64997490,480,5201,2017-05-15 06:22:00 UTC,638,"Falcon Road, Clapham Junction",2017-05-15 06:14:00 UTC,620,"Surrey Lane, Battersea"
64997491,1380,10549,2017-05-15 06:37:00 UTC,175,"Appold Street, Liverpool Street",2017-05-15 06:14:00 UTC,153,"Bayswater Road, Hyde Park"
64997492,660,4531,2017-05-15 06:25:00 UTC,95,"Aldersgate Street, Barbican",2017-05-15 06:14:00 UTC,282,"Royal London Hospital, Whitechapel"
64997493,780,8300,2017-05-15 06:27:00 UTC,354,"Northumberland Avenue, Strand",2017-05-15 06:14:00 UTC,706,"Snowsfields, London Bridge"
64997494,540,3741,2017-05-15 06:24:00 UTC,650,"St. Mark's Road, North Kensington",2017-05-15 06:15:00 UTC,153,"Bayswater Road, Hyde Park"
64997495,960,14627,2017-05-15 06:31:00 UTC,263,"St. Mary Axe, Aldgate",2017-05-15 06:15:00 UTC,531,"Twig Folly Bridge, Mile End"
64997496,1140,14151,2017-05-15 06:34:00 UTC,160,"Waterloo Place, St. James's",2017-05-15 06:15:00 UTC,202,"Leman Street, Aldgate"
64997497,960,2814,2017-05-15 06:31:00 UTC,102,"Jewry Street, Aldgate",2017-05-15 06:15:00 UTC,4,"St. Chad's Street, King's Cross"
64997498,660,1705,2017-05-15 06:26:00 UTC,215,"Moorfields, Moorgate",2017-05-15 06:15:00 UTC,717,"Dunston Road , Haggerston"
64997499,300,1147,2017-05-15 06:20:00 UTC,73,"Old Street Station, St. Luke's",2017-05-15 06:15:00 UTC,63,"Murray Grove , Hoxton"
64997500,1140,10978,2017-05-15 06:35:00 UTC,221,"Horseferry Road, Westminster",2017-05-15 06:16:00 UTC,642,"Fawcett Close, Battersea"
64997501,1320,13596,2017-05-15 06:38:00 UTC,368,"Harriet Street, Knightsbridge",2017-05-15 06:16:00 UTC,411,"Walworth Road, Elephant & Castle"
64997502,480,7425,2017-05-15 06:24:00 UTC,614,"Bradmead, Battersea Park",2017-05-15 06:16:00 UTC,680,"Westbridge Road, Battersea"
64997503,480,2401,2017-05-15 06:24:00 UTC,39,"Shoreditch High Street, Shoreditch",2017-05-15 06:16:00 UTC,200,"LMU Commercial Road, Whitechapel"
64997504,480,618,2017-05-15 06:24:00 UTC,427,"Cheapside, Bank",2017-05-15 06:16:00 UTC,508,"Fournier Street, Whitechapel"
64997505,480,5720,2017-05-15 06:24:00 UTC,420,"Southwark Station 1, Southwark",2017-05-15 06:16:00 UTC,820,"Victory place, Walworth"
64997506,1260,2520,2017-05-15 06:37:00 UTC,48,"Godliman Street, St. Paul's",2017-05-15 06:16:00 UTC,726,"Alfreda Street, Battersea Park"
64997507,900,298,2017-05-15 06:31:00 UTC,331,"Bunhill Row, Moorgate",2017-05-15 06:16:00 UTC,154,"Waterloo Station 3, Waterloo"
64997508,660,7226,2017-05-15 06:27:00 UTC,33,"Central House, Aldgate",2017-05-15 06:16:00 UTC,446,"York Hall, Bethnal Green"
64997509,180,14773,2017-05-15 06:20:00 UTC,590,"Greenberry Street, St.John's Wood",2017-05-15 06:17:00 UTC,329,"Prince Albert Road, The Regent's Park"
64997510,1500,11742,2017-05-15 06:42:00 UTC,15,"Great Russell Street, Bloomsbury",2017-05-15 06:17:00 UTC,698,"Shoreditch Court, Haggerston"
64997511,1140,13561,2017-05-15 06:36:00 UTC,364,"Alfred Place, Bloomsbury",2017-05-15 06:17:00 UTC,270,"Kennington Lane Rail Bridge, Vauxhall"
64997512,420,13647,2017-05-15 06:24:00 UTC,727,"Chesilton Road, Fulham",2017-05-15 06:17:00 UTC,705,"Upper Richmond Road, Putney"
64997513,300,79,2017-05-15 06:22:00 UTC,58,"New Inn Yard, Shoreditch",2017-05-15 06:17:00 UTC,479,"Pott Street, Bethnal Green"
64997514,240,2902,2017-05-15 06:21:00 UTC,621,"Wandsworth Town Station, Wandsworth",2017-05-15 06:17:00 UTC,723,"Stephendale Road, Sands End"
64997515,900,6382,2017-05-15 06:32:00 UTC,360,"Howick Place, Westminster",2017-05-15 06:17:00 UTC,746,"Lots Road, West Chelsea"
64997516,1080,4040,2017-05-15 06:35:00 UTC,320,"Queen Mother Sports Centre, Victoria",2017-05-15 06:17:00 UTC,795,"Melton Street, Euston"
64997518,420,7332,2017-05-15 06:24:00 UTC,621,"Wandsworth Town Station, Wandsworth",2017-05-15 06:17:00 UTC,636,"South Park, Sands End"
64997520,240,13315,2017-05-15 06:22:00 UTC,74,"Vauxhall Cross, Vauxhall",2017-05-15 06:18:00 UTC,183,"Riverlight North, Nine Elms"
64997521,360,14788,2017-05-15 06:24:00 UTC,631,"Battersea Park Road, Nine Elms",2017-05-15 06:18:00 UTC,146,"Vauxhall Bridge , Pimlico"
64997522,600,536,2017-05-15 06:28:00 UTC,191,"Hyde Park Corner, Hyde Park",2017-05-15 06:18:00 UTC,74,"Vauxhall Cross, Vauxhall"
64997523,720,7815,2017-05-15 06:30:00 UTC,71,"Newgate Street , St. Paul's",2017-05-15 06:18:00 UTC,154,"Waterloo Station 3, Waterloo"
64997524,540,14034,2017-05-15 06:27:00 UTC,546,"New Fetter Lane, Holborn",2017-05-15 06:18:00 UTC,154,"Waterloo Station 3, Waterloo"
64997525,480,908,2017-05-15 06:26:00 UTC,703,"St. Bride Street, Holborn",2017-05-15 06:18:00 UTC,549,"Gaywood  Street, Elephant & Castle"
64997526,1200,916,2017-05-15 06:38:00 UTC,300,"Serpentine Car Park, Hyde Park",2017-05-15 06:18:00 UTC,727,"Chesilton Road, Fulham"
64997527,420,2772,2017-05-15 06:25:00 UTC,251,"Brushfield Street, Liverpool Street",2017-05-15 06:18:00 UTC,445,"Cheshire Street, Bethnal Green"
64997528,420,10390,2017-05-15 06:25:00 UTC,703,"St. Bride Street, Holborn",2017-05-15 06:18:00 UTC,154,"Waterloo Station 3, Waterloo"
64997529,1200,7607,2017-05-15 06:38:00 UTC,541,"Green Park Station, Mayfair",2017-05-15 06:18:00 UTC,820,"Victory place, Walworth"
64997530,780,5450,2017-05-15 06:31:00 UTC,300,"Serpentine Car Park, Hyde Park",2017-05-15 06:18:00 UTC,560,"Ladbroke Grove Central, Ladbroke Grove"
64997531,1440,13576,2017-05-15 06:42:00 UTC,175,"Appold Street, Liverpool Street",2017-05-15 06:18:00 UTC,481,"Saunders Ness Road, Cubitt Town"
64997532,720,7496,2017-05-15 06:30:00 UTC,71,"Newgate Street , St. Paul's",2017-05-15 06:18:00 UTC,200,"LMU Commercial Road, Whitechapel"
64997533,2460,13320,2017-05-15 06:59:00 UTC,404,"Palace Gate, Kensington Gardens",2017-05-15 06:18:00 UTC,511,"Sutton Street, Shadwell"
64997534,960,2255,2017-05-15 06:35:00 UTC,211,"Cadogan Place, Knightsbridge",2017-05-15 06:19:00 UTC,613,"Woodstock Grove, Shepherd's Bush"
64997535,840,13366,2017-05-15 06:33:00 UTC,331,"Bunhill Row, Moorgate",2017-05-15 06:19:00 UTC,517,"Ford Road, Old Ford"
64997536,240,14384,2017-05-15 06:23:00 UTC,261,"Princes Square, Bayswater",2017-05-15 06:19:00 UTC,165,"Orsett Terrace, Bayswater"
